Predictor,Levels,Total / median number of cases (n=11890),Composite outcome positive (n=317),Composite outcome negative (n=11519)
Age (hour); median [Q1-Q3],-,2.0 [1.0-7.0],2.0 [1.0-9.0],2.0 [1.0-7.0]
,Missing n (%),269 (2.26),2 (0.74),267 (99.26)
Gender; n (%),Female,5334 (44.86),155 (2.91),5179 (97.09)
,Male,6532 (54.94),216 (3.31),6316 (96.69)
,Ambiguous,24 (0.20),0 (0.00),24 (100.00)
Gestational age; median [Q1-Q3],-,38 [35-40],37 [33-39],38 [35-40]
,Missing n (%),3 (0.03),0 (0.00),3 (100.00)
Birth weight; median [Q1-Q3],-,2700 [1950-3200],2500 [1650-3035],2700 [1950-3200]
,Missing n (%),35 (0.29),2 (5.71),33 (94.29)
Temperature at admission; median [Q1-Q3],-,36.8 [36.5-37.0],36.8 [36.5-37.0],36.8 [36.5-37.0]
Heart rate; median [Q1-Q3],-,138.0 [128.0-146.0],138.0 [128.0-149.0],138.0 [128.0-146.0]
,Missing n (%),15 (0.13),0 (0.00),15 (100.00)
Apgar score at 1 minute; median [Q1-Q3],-,7 [5-8],7 [5-8],7 [5-8]
,Missing n (%),812 (6.83),40 (4.93),772 (95.07)
Apgar score at 5 minutes; median [Q1-Q3],-,8 [7-9],8 [6-9],8 [7-9]
,Missing n (%),851 (7.16),41 (4.82),810 (95.18)
Respiratory rate; median [Q1-Q3],-,50 [34-64],60 [50-70],50 [34-64]
,Missing n (%),119 (1.00),1 (0.84),118 (99.16)
Oxygen saturation in air; median [Q1-Q3],-,92.0 [86.0-96.0],88.0 [83.0-94.0],92.0 [87.0-96.0]
,Missing n (%),238 (2.00),9 (3.78),229 (96.22)
Type of birth; n (%),Singleton,10573 (88.92),336 (3.18),10237 (96.82)
,Twin 1,646 (5.43),18 (2.79),628 (97.21)
,Twin 2,610 (5.13),14 (2.30),596 (97.70)
,Triplet 1,16 (0.13),1 (6.25),15 (93.75)
,Triplet 2,17 (0.14),0 (0.00),17 (100.00)
,Triplet 3,24 (0.20),2 (8.33),22 (91.67)
,Other,1 (0.01),0 (0.00),1 (100.00)
,Missing,3 (0.03),0 (0.00),3 (100.00)
Premature rupture of membrane; n (%),Yes,834 (7.01),61 (7.31),773 (92.69)
,No rupture,9694 (81.53),262 (2.70),9432 (97.30)
,Missing,1362 (11.46),48 (3.52),1314 (96.48)
Skin condition; n (%),Rash,85 (0.71),4 (4.71),81 (95.29)
,Pustules,16 (0.13),1 (6.25),15 (93.75)
,Boils,2 (0.02),0 (0.00),2 (100.00)
,Rash and boils,1 (0.01),0 (0.00),1 (100.00)
,Folds,3 (0.03),0 (0.00),3 (100.00)
,None,11700 (98.40),365 (3.12),11335 (96.88)
,Missing,83 (0.70),1 (1.20),82 (98.80)
Work of breathing; n (%),Mild,2329 (19.59),91 (3.91),2238 (96.09)
,Moderate,2552 (21.46),116 (4.55),2436 (95.45)
,Severe,591 (4.97),27 (4.57),564 (95.43)
,Missing,6418 (53.98),137 (2.13),6281 (97.87)
Signs of respiratory distress; n (%),Signs present,5664 (47.64),238 (4.20),5426 (95.80)
,No signs,6223 (52.34),133 (2.14),6090 (97.86)
,Missing,3 (0.03),0 (0.00),3 (100.00)
Danger signs; n (%),Danger signs present,3362 (28.28),147 (4.37),3215 (95.63)
,No danger signs,8527 (71.72),224 (2.63),8303 (97.37)
,Missing,1 (0.01),0 (0.00),1 (100.00)
Alertness; n (%),Alert,9698 (81.56),269 (2.77),9429 (97.23)
,Coma,102 (0.86),1 (0.98),101 (99.02)
,Convulsions,48 (0.40),4 (8.33),44 (91.67)
,Lethargic,1887 (15.87),85 (4.50),1802 (95.50)
,Irritable,153 (1.29),12 (7.84),141 (92.16)
,Missing,2 (0.02),0 (0.00),2 (100.00)
Colour; n (%),Pink,11429 (96.12),352 (3.08),11077 (96.92)
,Blue,300 (2.52),10 (3.33),290 (96.67)
,White,88 (0.74),1 (1.14),87 (98.86)
,Yellow,41 (0.34),7 (17.07),34 (82.93)
,Yellow/white,1 (0.01),1 (100.00),0 (0.00)
,Missing,31 (0.26),0 (0.00),31 (100.00)
Umbilicus; n (%),Normal,11356 (95.51),348 (3.06),11008 (96.94)
,Abnormal,505 (4.25),23 (4.55),482 (95.45)
,Missing,29 (0.24),0 (0.00),29 (100.00)
Vomiting; n (%),Small milky possets after feeds (normal),72 (0.61),1 (1.39),71 (98.61)
,Yes (all feeds/ blood/ green),179 (1.51),10 (5.59),169 (94.41)
,No,11608 (97.63),360 (3.10),11248 (96.90)
,Missing,31 (0.26),0 (0.00),31 (100.00)
Abdomen check; n (%),Normal,11392 (95.81),356 (3.12),11036 (96.88)
,Abnormal,445 (3.74),15 (3.37),430 (96.63)
,Missing,53 (0.45),0 (0.00),53 (100.00)
Fontanelle; n (%),Flat,11785 (99.12),368 (3.12),11417 (96.88)
,Bulging,51 (0.43),1 (1.96),50 (98.04)
,Sunken,52 (0.44),2 (3.85),50 (96.15)
,Missing,2 (0.02),0 (0.00),2 (100.00)
